contig_ID	vibrant_contig_ID	vibrant_total_genes	vibrant_KEGG_genes	vibrant_KEGG_v_score	vibrant_Pfam_genes	vibrant_Pfam_v_score	vibrant_VOG_genes	vibrant_VOG_v_score	vsort2_contig_ID	vsort2_max_score	vsort2_max_score_group	vsort2_hallmark_genes	vsort2_viral_component	vsort2_cellular_component	checkv_contig_id	checkv_contig_length	checkv_provirus	checkv_proviral_length	checkv_gene_count	checkv_viral_genes	checkv_host_genes	checkv_checkv_quality	checkv_miuvig_quality	checkv_completeness	checkv_completeness_method	checkv_contamination	checkv_kmer_freq	checkv_warnings
Sample_11_contig_3_fragment_12	Sample_11_contig_3_fragment_12	63.0	12.0	16.5	34.0	28.42	50.0	129.17000000000002							Sample_11_contig_3_fragment_12	46073.0	No		63.0	42.0	1.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Sample_11_contig_3_fragment_13	Sample_11_contig_3_fragment_13	58.0	7.0	12.72	21.0	29.320000000000004	43.0	157.49							Sample_11_contig_3_fragment_13	38051.0	No		60.0	45.0	0.0	High-quality	High-quality	95.9	AAI-based (high-confidence)	0.0	1.0	
Sample_11_contig_3_fragment_15	Sample_11_contig_3_fragment_15	73.0	8.0	18.4	27.0	32.18000000000001	57.0	150.81000000000003							Sample_11_contig_3_fragment_15	48424.0	No		73.0	50.0	0.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Sample_11_contig_3_fragment_18	Sample_11_contig_3_fragment_18	31.0	7.0	9.670000000000002	14.0	20.680000000000003	16.0	54.36							Sample_11_contig_3_fragment_18	31786.0	Yes	24012.0	32.0	7.0	2.0	Medium-quality	Genome-fragment	56.37	AAI-based (high-confidence)	24.46	1.0	
Sample_11_contig_3_fragment_19	Sample_11_contig_3_fragment_19	15.0	2.0	2.88	3.0	11.65	5.0	27.130000000000003							Sample_11_contig_3_fragment_19	11374.0	No		15.0	2.0	1.0	Low-quality	Genome-fragment	7.79	HMM-based (lower-bound)	0.0	1.0	
Sample_23_contig_93_fragment_2	Sample_23_contig_93_fragment_2	10.0	4.0	7.21	4.0	9.77	4.0	30.36							Sample_23_contig_93_fragment_2	6790.0	No		11.0	0.0	0.0	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected
Sample_20_contig_2_fragment_7	Sample_20_contig_2_fragment_7	18.0	3.0	3.78	3.0	1.81	5.0	21.660000000000004							Sample_20_contig_2_fragment_7	12554.0	No		17.0	2.0	1.0	Medium-quality	Genome-fragment	81.95	HMM-based (lower-bound)	0.0	1.0	
Sample_14_contig_4_fragment_9	Sample_14_contig_4_fragment_9	9.0	1.0	0.65	1.0	9.33	2.0	10.16							Sample_14_contig_4_fragment_9	5726.0	No		11.0	2.0	0.0	Low-quality	Genome-fragment	7.96	HMM-based (lower-bound)	0.0	1.0	
Sample_6_contig_44	Sample_6_contig_44	16.0	1.0	2.77	2.0	2.0	3.0	4.26	Sample_6_contig_44||full	0.973	dsDNAphage	6.0	50.0	12.5	Sample_6_contig_44	8097.0	No		16.0	6.0	0.0	Low-quality	Genome-fragment	21.19	AAI-based (medium-confidence)	0.0	1.0	
Sample_21_contig_1_fragment_4	Sample_21_contig_1_fragment_4	56.0	8.0	12.63	13.0	15.05	15.0	47.15							Sample_21_contig_1_fragment_4	39082.0	No		56.0	7.0	2.0	Medium-quality	Genome-fragment	57.33	HMM-based (lower-bound)	0.0	1.0	
Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2	68.0	8.0	22.6	32.0	67.19999999999999	48.0	170.76999999999998							Sample_10_contig_86_fragment_2	43050.0	No		68.0	47.0	0.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Sample_2_contig_6_fragment_1	Sample_2_contig_6_fragment_1	35.0	17.0	10.079999999999998	20.0	14.31	14.0	38.35							Sample_2_contig_6_fragment_1	39484.0	No		39.0	0.0	8.0	Not-determined	Genome-fragment			0.0	2.05	no viral genes detected; high kmer_freq may indicate large duplication
Sample_21_contig_2_fragment_3	Sample_21_contig_2_fragment_3	10.0	3.0	3.3	5.0	3.4100000000000006	9.0	14.939999999999998							Sample_21_contig_2_fragment_3	6692.0	No		10.0	5.0	0.0	Low-quality	Genome-fragment	31.85	AAI-based (high-confidence)	0.0	1.0	
Sample_7_contig_1_fragment_46	Sample_7_contig_1_fragment_46	16.0	4.0	6.949999999999999	5.0	15.329999999999998	6.0	39.18							Sample_7_contig_1_fragment_46	11691.0	No		16.0	1.0	0.0	Low-quality	Genome-fragment	21.33	HMM-based (lower-bound)	0.0	1.0	
Sample_33_contig_115_fragment_3	Sample_33_contig_115_fragment_3	40.0	7.0	15.169999999999998	16.0	24.04	14.0	70.94							Sample_33_contig_115_fragment_3	27017.0	No		47.0	20.0	2.0	Medium-quality	Genome-fragment	61.53	AAI-based (high-confidence)	0.0	1.0	
Sample_39_contig_4_fragment_2	Sample_39_contig_4_fragment_2	43.0	7.0	19.47	12.0	25.769999999999996	28.0	120.32							Sample_39_contig_4_fragment_2	44079.0	No		46.0	24.0	0.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Sample_9_contig_1_fragment_15	Sample_9_contig_1_fragment_15	72.0	7.0	12.69	18.0	22.31	31.0	123.33000000000004							Sample_9_contig_1_fragment_15	46199.0	No		72.0	29.0	1.0	Medium-quality	Genome-fragment	88.09	AAI-based (medium-confidence)	0.0	1.0	
Sample_53_contig_2_fragment_6	Sample_53_contig_2_fragment_6	64.0	18.0	22.78	20.0	22.6	30.0	101.64							Sample_53_contig_2_fragment_6	55421.0	Yes	38876.0	68.0	17.0	7.0	High-quality	High-quality	96.5	AAI-based (high-confidence)	29.85	1.0	
Sample_50_contig_4_fragment_6	Sample_50_contig_4_fragment_6	62.0	17.0	19.280000000000005	20.0	22.6	29.0	100.22							Sample_50_contig_4_fragment_6	55644.0	Yes	38873.0	65.0	17.0	8.0	High-quality	High-quality	96.49	AAI-based (high-confidence)	30.14	1.0	
Sample_50_contig_4_fragment_7	Sample_50_contig_4_fragment_7	23.0	7.0	9.47	14.0	22.910000000000004	16.0	67.97							Sample_50_contig_4_fragment_7	18276.0	No		23.0	18.0	0.0	Low-quality	Genome-fragment	43.53	AAI-based (medium-confidence)	0.0	1.0	
Sample_50_contig_4_fragment_13	Sample_50_contig_4_fragment_13	44.0	8.0	15.04	9.0	18.2	23.0	73.39000000000001							Sample_50_contig_4_fragment_13	41796.0	No		46.0	17.0	1.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Sample_50_contig_4_fragment_18	Sample_50_contig_4_fragment_18	44.0	9.0	8.590000000000002	18.0	15.399999999999997	16.0	23.130000000000003							Sample_50_contig_4_fragment_18	33654.0	Yes	27736.0	52.0	8.0	2.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	17.58	1.0	contig >1.5x longer than expected genome length
Sample_26_contig_145	Sample_26_contig_145	53.0	0.0	0.0	6.0	4.35	16.0	25.79	Sample_26_contig_145||full	1.0	dsDNAphage	5.0	39.6	1.9	Sample_26_contig_145	30104.0	No		53.0	17.0	0.0	Medium-quality	Genome-fragment	52.23	AAI-based (medium-confidence)	0.0	1.0	
Sample_50_contig_2_fragment_8	Sample_50_contig_2_fragment_8	68.0	6.0	9.53	16.0	33.980000000000004	27.0	114.67							Sample_50_contig_2_fragment_8	41040.0	No		67.0	27.0	0.0	Medium-quality	Genome-fragment	86.7	AAI-based (high-confidence)	0.0	1.0	
Sample_50_contig_2_fragment_12	Sample_50_contig_2_fragment_12	63.0	13.0	14.59	20.0	23.959999999999997	22.0	100.28							Sample_50_contig_2_fragment_12	52898.0	Yes	44010.0	64.0	17.0	3.0	Medium-quality	Genome-fragment	62.67	HMM-based (lower-bound)	16.8	1.0	
Sample_46_contig_1_fragment_4	Sample_46_contig_1_fragment_4	70.0	16.0	24.250000000000004	43.0	49.81	38.0	138.39							Sample_46_contig_1_fragment_4	56755.0	Yes	38742.0	71.0	31.0	11.0	Medium-quality	Genome-fragment	83.36	AAI-based (medium-confidence)	31.74	1.0	
Sample_46_contig_1_fragment_9	Sample_46_contig_1_fragment_9	50.0	13.0	15.830000000000002	36.0	43.05	32.0	127.23							Sample_46_contig_1_fragment_9	43108.0	Yes	32028.0	50.0	25.0	5.0	High-quality	High-quality	92.15	AAI-based (medium-confidence)	25.7	1.0	
Sample_22_contig_43	Sample_22_contig_43	17.0	2.0	4.81	7.0	8.01	9.0	23.739999999999995							Sample_22_contig_43	9065.0	No		17.0	9.0	0.0	Low-quality	Genome-fragment	19.82	AAI-based (high-confidence)	0.0	1.0	
Sample_6_contig_49	Sample_6_contig_49	4.0	0.0	0.0	0.0	0.0	3.0	0.75							Sample_6_contig_49	2421.0	No		4.0	0.0	0.0	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected
Sample_46_contig_6	Sample_46_contig_6	21.0	2.0	10.31	3.0	10.07	3.0	21.06							Sample_46_contig_6	18880.0	No		21.0	0.0	0.0	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected
Sample_33_contig_69	Sample_33_contig_69	35.0	0.0	0.0	14.0	11.67	16.0	33.87	Sample_33_contig_69||full	0.9	dsDNAphage	9.0	42.9	22.9	Sample_33_contig_69	21144.0	No		35.0	15.0	0.0	Medium-quality	Genome-fragment	65.41	AAI-based (high-confidence)	0.0	1.0	
Sample_19_contig_25	Sample_19_contig_25	12.0	1.0	0.84	2.0	1.77	3.0	10.9							Sample_19_contig_25	9248.0	No		12.0	2.0	0.0	Medium-quality	Genome-fragment	72.25	HMM-based (lower-bound)	0.0	1.0	
Sample_23_contig_74_fragment_1	Sample_23_contig_74_fragment_1	71.0	9.0	15.78	9.0	11.549999999999995	21.0	54.34							Sample_23_contig_74_fragment_1	41296.0	No		71.0	16.0	0.0	Medium-quality	Genome-fragment	74.82	HMM-based (lower-bound)	0.0	1.0	
Sample_6_contig_82	Sample_6_contig_82	9.0	0.0	0.0	2.0	0.42	3.0	10.86	Sample_6_contig_82||full	0.933	dsDNAphage	4.0	66.7	0.0	Sample_6_contig_82	4282.0	No		9.0	2.0	0.0	Low-quality	Genome-fragment	11.69	AAI-based (high-confidence)	0.0	1.0	
Sample_18_contig_9	Sample_18_contig_9	4.0	0.0	0.0	2.0	0.18	1.0	1.56							Sample_18_contig_9	3234.0	No		4.0	0.0	2.0	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected
Sample_22_contig_12	Sample_22_contig_12	25.0	1.0	2.08	4.0	1.12	12.0	21.22	Sample_22_contig_12||full	0.913	dsDNAphage	0.0	48.0	0.0	Sample_22_contig_12	12877.0	No		25.0	7.0	0.0	Low-quality	Genome-fragment	17.65	HMM-based (lower-bound)	0.0	1.0	
Sample_51_contig_1_fragment_9	Sample_51_contig_1_fragment_9	62.0	17.0	19.280000000000005	20.0	22.6	29.0	100.22							Sample_51_contig_1_fragment_9	55645.0	Yes	38874.0	65.0	17.0	8.0	High-quality	High-quality	96.49	AAI-based (high-confidence)	30.14	1.0	
Sample_51_contig_1_fragment_10	Sample_51_contig_1_fragment_10	23.0	7.0	9.47	14.0	22.910000000000004	16.0	67.97							Sample_51_contig_1_fragment_10	18276.0	No		23.0	18.0	0.0	Low-quality	Genome-fragment	43.53	AAI-based (medium-confidence)	0.0	1.0	
Sample_51_contig_1_fragment_17	Sample_51_contig_1_fragment_17	45.0	7.0	12.96	9.0	18.2	23.0	64.39							Sample_51_contig_1_fragment_17	41795.0	No		48.0	17.0	1.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Sample_51_contig_1_fragment_22	Sample_51_contig_1_fragment_22	43.0	9.0	8.590000000000002	17.0	15.369999999999996	16.0	23.130000000000003							Sample_51_contig_1_fragment_22	33671.0	Yes	28273.0	50.0	9.0	2.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	16.03	1.0	contig >1.5x longer than expected genome length
Sample_54_contig_1_fragment_13	Sample_54_contig_1_fragment_13	57.0	5.0	8.780000000000001	16.0	37.21	14.0	87.24000000000001							Sample_54_contig_1_fragment_13	43587.0	Yes	37808.0	58.0	17.0	2.0	Medium-quality	Genome-fragment	54.6	HMM-based (lower-bound)	13.26	1.0	
Sample_46_contig_3_fragment_2	Sample_46_contig_3_fragment_2	18.0	4.0	12.61	9.0	28.22	12.0	93.16							Sample_46_contig_3_fragment_2	13719.0	No		18.0	8.0	0.0	Low-quality	Genome-fragment	18.25	HMM-based (lower-bound)	0.0	1.0	
Sample_53_contig_4_fragment_7	Sample_53_contig_4_fragment_7	65.0	13.0	14.57	20.0	22.619999999999997	23.0	108.44000000000004							Sample_53_contig_4_fragment_7	55765.0	Yes	46575.0	69.0	19.0	4.0	Medium-quality	Genome-fragment	65.75	HMM-based (lower-bound)	16.48	1.0	
Sample_53_contig_4_fragment_10	Sample_53_contig_4_fragment_10	68.0	6.0	7.659999999999999	16.0	27.520000000000003	27.0	114.67000000000004							Sample_53_contig_4_fragment_10	40798.0	No		68.0	28.0	0.0	Medium-quality	Genome-fragment	83.8	AAI-based (high-confidence)	0.0	1.0	
Sample_2_contig_8_fragment_2	Sample_2_contig_8_fragment_2	46.0	15.0	15.09	16.0	13.79	12.0	44.29							Sample_2_contig_8_fragment_2	40635.0	No		46.0	2.0	7.0	Medium-quality	Genome-fragment	73.35	HMM-based (lower-bound)	0.0	1.0	
Sample_38_contig_146	Sample_38_contig_146	6.0	0.0	0.0	1.0	0.73	2.0	0.26							Sample_38_contig_146	2945.0	No		6.0	0.0	0.0	Low-quality	Genome-fragment	4.01	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
Sample_33_contig_101_fragment_2	Sample_33_contig_101_fragment_2	17.0	1.0	4.48	2.0	1.38	7.0	23.76							Sample_33_contig_101_fragment_2	14821.0	No		21.0	8.0	0.0	Low-quality	Genome-fragment	15.04	HMM-based (lower-bound)	0.0	1.0	
Sample_33_contig_32_fragment_3	Sample_33_contig_32_fragment_3	31.0	2.0	0.24	2.0	1.17	6.0	30.62							Sample_33_contig_32_fragment_3	18704.0	No		31.0	5.0	0.0	Low-quality	Genome-fragment	20.07	HMM-based (lower-bound)	0.0	1.0	
Sample_26_contig_70	Sample_26_contig_70	19.0	1.0	0.07	0.0	0.0	2.0	0.74	Sample_26_contig_70||full	0.98	dsDNAphage	0.0	10.5	0.0	Sample_26_contig_70	8620.0	No		19.0	2.0	0.0	Low-quality	Genome-fragment	7.62	HMM-based (lower-bound)	0.0	1.0	
Sample_35_contig_14	Sample_35_contig_14	4.0	0.0	0.0	0.0	0.0	2.0	7.67	Sample_35_contig_14||full	1.0	dsDNAphage	3.0	100.0	0.0	Sample_35_contig_14	2227.0	No		4.0	4.0	0.0	Low-quality	Genome-fragment	4.11	HMM-based (lower-bound)	0.0	1.0	
Sample_6_contig_63	Sample_6_contig_63	4.0	3.0	4.01	4.0	5.17	4.0	14.56	Sample_6_contig_63||full	0.993	dsDNAphage	4.0	100.0	0.0	Sample_6_contig_63	2595.0	No		4.0	3.0	0.0	Low-quality	Genome-fragment	7.43	AAI-based (high-confidence)	0.0	1.0	
Sample_4_contig_1_fragment_12	Sample_4_contig_1_fragment_12	100.0	30.0	43.29	60.0	105.14	66.0	302.29999999999995							Sample_4_contig_1_fragment_12	73002.0	Yes	56321.0	100.0	57.0	9.0	Complete	High-quality	100.0	Provirus (high-confidence)	22.85	1.0	contig >1.5x longer than expected genome length
Sample_26_contig_7_fragment_1	Sample_26_contig_7_fragment_1	46.0	4.0	6.58	5.0	7.58	5.0	29.17							Sample_26_contig_7_fragment_1	30439.0	No		40.0	0.0	2.0	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected
Sample_17_contig_1_fragment_5	Sample_17_contig_1_fragment_5	43.0	9.0	8.59	19.0	16.4	17.0	23.28							Sample_17_contig_1_fragment_5	33634.0	Yes	28872.0	50.0	9.0	2.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	14.16	1.0	contig >1.5x longer than expected genome length
Sample_17_contig_1_fragment_11	Sample_17_contig_1_fragment_11	51.0	10.0	15.73	11.0	19.58	24.0	73.60000000000001							Sample_17_contig_1_fragment_11	46211.0	Yes	41300.0	54.0	18.0	3.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	10.63	1.0	
Sample_17_contig_1_fragment_15	Sample_17_contig_1_fragment_15	62.0	17.0	19.28	20.0	22.6	29.0	100.22							Sample_17_contig_1_fragment_15	55646.0	Yes	38876.0	66.0	17.0	8.0	High-quality	High-quality	96.5	AAI-based (high-confidence)	30.14	1.0	
Sample_17_contig_1_fragment_34	Sample_17_contig_1_fragment_34	63.0	13.0	14.57	20.0	22.619999999999997	22.0	104.40000000000002							Sample_17_contig_1_fragment_34	55765.0	Yes	46575.0	66.0	18.0	4.0	Medium-quality	Genome-fragment	65.75	HMM-based (lower-bound)	16.48	1.0	
Sample_17_contig_1_fragment_38	Sample_17_contig_1_fragment_38	67.0	6.0	9.53	16.0	33.980000000000004	27.0	114.67000000000004							Sample_17_contig_1_fragment_38	41040.0	No		67.0	27.0	0.0	Medium-quality	Genome-fragment	86.7	AAI-based (high-confidence)	0.0	1.0	
Sample_45_contig_5_fragment_3	Sample_45_contig_5_fragment_3	133.0	19.0	15.81	15.0	19.19	35.0	45.11000000000001							Sample_45_contig_5_fragment_3	84136.0	No		133.0	16.0	3.0	Medium-quality	Genome-fragment	70.5	HMM-based (lower-bound)	0.0	1.0	
Sample_55_contig_3_fragment_7	Sample_55_contig_3_fragment_7	64.0	19.0	23.860000000000003	21.0	24.34	30.0	101.9							Sample_55_contig_3_fragment_7	55643.0	Yes	38871.0	67.0	17.0	8.0	High-quality	High-quality	96.49	AAI-based (high-confidence)	30.14	1.0	
Sample_55_contig_3_fragment_9	Sample_55_contig_3_fragment_9	24.0	7.0	9.47	14.0	22.910000000000004	17.0	69.82							Sample_55_contig_3_fragment_9	18275.0	No		24.0	18.0	0.0	Low-quality	Genome-fragment	43.52	AAI-based (medium-confidence)	0.0	1.0	
Sample_55_contig_3_fragment_14	Sample_55_contig_3_fragment_14	44.0	7.0	12.96	9.0	18.2	22.0	63.38999999999999							Sample_55_contig_3_fragment_14	41793.0	No		47.0	16.0	1.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Sample_55_contig_3_fragment_19	Sample_55_contig_3_fragment_19	44.0	9.0	8.590000000000002	19.0	16.399999999999995	17.0	23.28							Sample_55_contig_3_fragment_19	33633.0	Yes	27715.0	50.0	9.0	2.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	17.6	1.0	contig >1.5x longer than expected genome length
Sample_51_contig_2_fragment_13	Sample_51_contig_2_fragment_13	63.0	13.0	14.57	20.0	22.619999999999997	22.0	104.40000000000002							Sample_51_contig_2_fragment_13	55763.0	Yes	46573.0	66.0	18.0	4.0	Medium-quality	Genome-fragment	65.75	HMM-based (lower-bound)	16.48	1.0	
Sample_51_contig_2_fragment_17	Sample_51_contig_2_fragment_17	67.0	6.0	7.659999999999999	15.0	24.65	27.0	114.67000000000004							Sample_51_contig_2_fragment_17	40801.0	No		67.0	27.0	0.0	Medium-quality	Genome-fragment	85.87	AAI-based (medium-confidence)	0.0	1.0	
Sample_10_contig_86									Sample_10_contig_86||full	0.94	dsDNAphage	13.0	41.4	20.0														
