annotation_dataset	contig	gene	start_position	end_position	strandedness	AMG	rank	kegg_genes_id	ko_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_id	cazy_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	virsorter_category	auxiliary_score	is_transposon	amg_flags	AMG_gene_id	AMG_gene_description	AMG_category	AMG_header	AMG_subheader	AMG_module	ARAGORN_tRNA_count	ARAGORN_tRNA_species
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_11	5129	5758	+		C	sab:SAB1746c		sab:SAB1746c  hypothetical phage-related protein	False	0.81	345.0	1.458e-105	YP_010083935.1	YP_010083935.1 SAK protein [Lactococcus phage PLgW-1]	False	0.424	107.0	2.777e-25								Protein of unknown function (DUF1071) [PF06378.14]			VOG12250	REFSEQ DUF1071 domain-containing protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_12	5748	6194	+		C	sscz:RN70_09900		sscz:RN70_09900  single-stranded DNA-binding protein	False	0.725	219.0	4.3840000000000004e-63	NP_835537.1	NP_835537.1 single-strand DNA-binding protein [Staphylococcus phage phiN315]	False	0.641	199.0	1.944e-58								Single-strand binding protein family [PF00436.28]			VOG02350	sp|O21902|SSB_BPLSK SSB protein; Xh	Xh	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_13	6223	6894	+		C	sln:SLUG_08440		sln:SLUG_08440  conserved phage protein	False	0.741	338.0	5.9e-103														Putative HNHc nuclease [PF16784.8]			VOG02980	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_14	6837	7610	+		C	spas:STP1_0666		spas:STP1_0666  hypothetical protein	False	0.65	309.0	3.577e-92	YP_009224235.1	YP_009224235.1 DnaD [Erysipelothrix phage SE-1]	False	0.584	103.0	1.875e-23														0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_15	7614	7976	+		C	scv:A4G25_03715		scv:A4G25_03715  hypothetical protein	False	0.563	124.0	7.371000000000001e-31														Loader and inhibitor of phage G40P [PF11417.11]			VOG01823	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_16	7963	9204	+		A	sue:SAOV_1083		sue:SAOV_1083  replicative DNA helicase	True	0.733	607.0	2.2200000000000003e-192	NP_795382.1	NP_795382.1 putative DNA polymerase III delta prime subunit [Streptococcus phage 315.1]	False	0.38	166.0	1.065e-42								DnaB-like helicase C terminal domain [PF03796.18]			VOG00130	sp|P04530|HELIC_BPT4 DnaB-like replicative helicase; XhXr	Xr;Xh	0.0	1.0	1.0	False	V								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_17	9201	9413	+		C	sagq:EP23_04940		sagq:EP23_04940  hypothetical protein	False	0.596	70.0	7.184e-13																	VOG09772	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_18	9400	9636	+		C	saur:SABB_05348		saur:SABB_05348  hypothetical protein	False	0.535	80.0	3.733e-16														Protein of unknown function (DUF3269) [PF11673.11]			VOG01004	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_19	9647	10048	+		C	swa:A284_08005		swa:A284_08005  hypothetical protein	False	0.766	210.0	3.101e-60	YP_008770679.1	YP_008770679.1 endonuclease [Bacillus phage Glittering]	False	0.323	69.0	1.607e-13								Protein of unknown function (DUF1064) [PF06356.14]			VOG00133	sp|P15075|HDNUC_BPT4 Head completion nuclease; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_20	10054	10257	+		C	sxo:SXYL_01770		sxo:SXYL_01770  Uncharacterized phage protein	False	0.745	102.0	3.048e-24																				0.0	2.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_21	10271	10648	+		C	sxy:BE24_05430		sxy:BE24_05430  hypothetical protein	False	0.44	90.0	7.846e-19																				0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_22	10648	11586	+		C	sxy:BE24_05425		sxy:BE24_05425  hypothetical protein	False	0.374	197.0	1.558e-52	NP_835542.1	NP_835542.1 hypothetical protein SA1787 [Staphylococcus phage phiN315]	False	0.674	98.0	3.479e-21								Protein of unknwon function (DUF3310) [PF11753.11]			VOG03859	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_23	11586	11816	+		C	sxo:SXYL_01765		sxo:SXYL_01765  Uncharacterized phage related protein	False	0.813	109.0	1.578e-26																	VOG09774	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_24	11797	12120	+		C	seqo:SE1039_09880		seqo:SE1039_09880  hypothetical protein	False	0.54	105.0	2.204e-24																				0.0	2.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_25	12123	12389	+		E																											0.0	2.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_26	12379	12618	+		E																											0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_27	12620	12883	+		E																											0.0	2.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_28	12884	13423	+		C	slg:SLGD_02264		slg:SLGD_02264  Dimeric dUTPase	False	0.637	227.0	3.277000000000001e-65	NP_835545.1	NP_835545.1 hypothetical protein SA1784 [Staphylococcus phage phiN315]	False	0.519	177.0	6.745e-50								dUTPase [PF08761.14]			VOG06139	sp|P39262|VG56_BPT4 dCTP pyrophosphatase; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_29	13377	13466	+		E																											0.0	2.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_30	13463	13684	+		C	sca:SCA_0488		sca:SCA_0488  hypothetical protein, phage associated	False	0.759	66.0	1.992e-11	NP_835547.1	NP_835547.1 hypothetical protein SA1782 [Staphylococcus phage phiN315]	False	0.5	63.0	2.962e-12								Protein of unknown function (DUF1381) [PF07129.14]			VOG07780	REFSEQ DUF1381 domain-containing protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_31	13687	13821	+		C	sxy:BE24_05370		sxy:BE24_05370  transcriptional regulator	False	0.734	62.0	1.13e-10														Transcriptional activator RinB [PF06116.15]			VOG00575	sp|Q03183|RINB_BPPHA Transcriptional activator rinB; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_32	13821	14048	+		C	sxo:SXYL_01757		sxo:SXYL_01757  Putative uncharacterized protein	False	0.836	132.0	2.154e-34														Protein of unknown function (DUF1514) [PF07438.14]						0.0	2.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_33	14086	14394	+		E																											0.0	2.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_34	14408	14821	+		C	sha:SH1778		sha:SH1778  unnamed protein product; hypothetical protein, similar to orf 61 from Staphylococcus aureus phage phiPVL	False	0.782	221.0	3.943e-64																				0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_35	15491	15841	+		C	sxo:SXYL_01755		sxo:SXYL_01755  Prophage L54a, HNH endonuclease family protein	False	0.913	224.0	2.173e-65	YP_009200923.1	YP_009200923.1 HNH endonuclease [Enterococcus phage IME-EFm5]	False	0.51	86.0	1.481e-19								HNH endonuclease [PF01844.26]						1.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_36	16006	16785	+		C	thl:TEH_18140		thl:TEH_18140  hypothetical protein	False	0.584	289.0	1.941e-85	YP_009187143.1	YP_009187143.1 hypothetical protein AU099_gp81 [Gordonia phage GTE8]	False	0.234	62.0	8.421e-10								HNH endonuclease [PF14279.9]; HNH endonuclease [PF01844.26]; HNH endonuclease [PF13395.9]						0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_37	16782	17255	+		C	thl:TEH_18130		thl:TEH_18130  putative phage terminase small subunit	False	0.743	229.0	1.323e-66	NP_795460.1	NP_795460.1 hypothetical protein SpyM3_0947 [Streptococcus phage 315.2]	False	0.301	69.0	3.619e-13								Phage terminase, small subunit [PF05119.15]			VOG00326	REFSEQ terminase small subunit; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_38	17245	18936	+		A	thl:TEH_18120		thl:TEH_18120  putative phage terminase large subunit	True	0.826	958.0	5.742e-311	NP_795461.1	NP_795461.1 hypothetical protein SpyM3_0946 [Streptococcus phage 315.2]	True	0.424	413.0	8.967e-125								Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]			VOG06179	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0.0	0.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_39	18948	19451	+		E																											0.0	2.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_40	19482	19676	+		C	sxo:SXYL_01752		sxo:SXYL_01752  Putative uncharacterized protein	False	0.739	97.0	2.228e-22																	VOG00453	sp|P75979|YMFR_ECOLI Uncharacterized protein YmfR; Xh	Xh	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_41	19676	20911	+		A	sxo:SXYL_01751		sxo:SXYL_01751  Phage portal protein, HK97 family	True	0.927	796.0	6.328e-258	YP_009613285.1	YP_009613285.1 portal protein [Enterococcus phage phiSHEF2]	False	0.336	183.0	1.457e-48								Phage portal protein [PF04860.15]			VOG00073	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xp;Xr;Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_42	20892	21464	+		A	sxo:SXYL_01750		sxo:SXYL_01750  Phage prohead protease, HK97 family	True	0.96	382.0	7.953e-119	YP_009200916.1	YP_009200916.1 prohead protease [Enterococcus phage IME-EFm5]	False	0.451	143.0	3.187e-38	MER0323045	S78	MER0323045 - family S78 unassigned peptidases (Staphylococcus simiae) [S78.UPW]#S78#{peptidase unit: 11-170}~source ZP_09146117~	False	0.629	203.0	1.964e-58	Caudovirus prohead serine protease [PF04586.20]						0.0	0.0	1.0	False	P								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_43	21505	22845	+		A	sepp:SEB_00565		sepp:SEB_00565  Phage capsid protein	True	0.777	717.0	5.18e-230	NP_795466.1	NP_795466.1 hypothetical protein SpyM3_0941 [Streptococcus phage 315.2]	False	0.538	270.0	1.3e-77								Phage capsid family [PF05065.16]			VOG00110	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_44	22864	23205	+		C	thl:TEH_18070		thl:TEH_18070  hypothetical protein	False	0.834	197.0	4.04e-56														Phage gp6-like head-tail connector protein [PF05135.16]			VOG00075	REFSEQ head-tail connector protein; Xu	Xu	0.0	0.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_45	23195	23524	+		C	sepp:SEB_00567		sepp:SEB_00567  hypothetical protein	False	0.905	208.0	3.484e-60																				0.0	0.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_46	23521	23925	+		C	sxo:SXYL_01746		sxo:SXYL_01746  Phage protein, HK97 gp10 family	False	0.879	247.0	3.0339999999999997e-73	NP_835560.1	NP_835560.1 hypothetical protein SA1770 [Staphylococcus phage phiN315]	False	0.455	112.0	2.818e-28											VOG09779	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_47	23945	24334	+		C	sepp:SEB_00569		sepp:SEB_00569  Bacteriophage	False	0.917	250.0	3.589e-74	NP_835561.1	NP_835561.1 hypothetical protein SA1769 [Staphylococcus phage phiN315]	False	0.479	110.0	1.105e-27											VOG00177	REFSEQ DUF3168 domain-containing protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_48	24347	24970	+		A	sxo:SXYL_01744		sxo:SXYL_01744  Phage major tail protein, phi13 family	True	0.883	386.0	5.529e-120	NP_835562.1	NP_835562.1 hypothetical protein SA1768 [Staphylococcus phage phiN315]	False	0.25	67.0	8.945e-12								Phage tail tube protein [PF04630.15]			VOG01369	REFSEQ tail protein; Xu	Xu	0.0	0.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_49	24989	25174	+		C	sxo:SXYL_01743		sxo:SXYL_01743  Putative uncharacterized protein	False	0.917	119.0	2.698e-30																				0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_50	25245	25607	+		C	sepp:SEB_00572		sepp:SEB_00572  Bacteriophage	False	0.872	220.0	6.21e-64	NP_835563.1	NP_835563.1 hypothetical protein SA1767 [Staphylococcus phage phiN315]	False	0.422	85.0	2.396e-19											VOG01696	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_51	25652	25792	+		C	sxo:SXYL_01741		sxo:SXYL_01741  Putative uncharacterized protein	False	0.883	87.0	2.478e-19																	VOG02136	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_52	25821	30479	+		A	sxo:SXYL_01740		sxo:SXYL_01740  Tape measure domain protein	True	0.561	1663.0	0.0	NP_835564.1	NP_835564.1 hypothetical protein SA1766 [Staphylococcus phage phiN315]	True	0.235	443.0	4.2609999999999994e-125	MER0479819	M23B	MER0479819 - subfamily M23B unassigned peptidases (Staphylococcus warneri) [M23.UPB]#M23B#{peptidase unit: 1537-1677}~source ZP_04679071~	False	0.682	193.0	2.1139999999999998e-47	Tape measure protein [PF20155.2]; Peptidase family M23 [PF01551.25]; Transglycosylase SLT domain [PF01464.23]			VOG22542	REFSEQ tail tape measure protein; Xu	Xu	0.0	0.0	1.0	False	P								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_53	30469	31308	+		A	scv:A4G25_03530		scv:A4G25_03530  phage tail protein	True	0.833	497.0	7.318e-157														Phage tail protein [PF05709.14]			VOG01770	REFSEQ tail family protein; Xu	Xu	0.0	0.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_54	31309	32907	+		A	sxo:SXYL_01738		sxo:SXYL_01738  Prophage endopeptidase tail	True	0.837	914.0	1.534e-296														Prophage endopeptidase tail N-terminal domain [PF18994.3]; Prophage endopeptidase tail [PF06605.14]			VOG01608	REFSEQ tail protein; Xu	Xu	0.0	0.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_55	32900	33487	+		C	spet:CEP67_11080		spet:CEP67_11080  hypothetical protein	False	0.65	250.0	5.6029999999999996e-73																	VOG21783	REFSEQ hypothetical protein; Xu	Xu	0.0	2.0	1.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_56	33503	36115	+		A	spet:CEP67_11085		spet:CEP67_11085  peptidase G2	True	0.834	1498.0	0.0	YP_009325565.1	YP_009325565.1 hypothetical protein BST79_gp047 [Only Syngen Nebraska virus 5]	False	0.234	65.0	1.455e-09	MER0220170	G02	MER0220170 - pre-neck appendage protein (Bacillus phage phi29) (Staphylococcus simiae) [G02.001]#G02#{peptidase unit: 695-868}~source ZP_09146131~	False	0.878	320.0	4.623e-89	Peptidase_G2, IMC autoproteolytic cleavage domain [PF11962.11]; Pectate lyase superfamily protein [PF12708.10]			VOG08107	sp|D3WAD3|DIT_BPLP2 Distal tail protein; XpXrXs	Xp;Xr;Xs	0.0	1.0	1.0	False	VP								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_57	36130	37626	+		A	spet:CEP67_11090		spet:CEP67_11090  hypothetical protein	True	0.631	627.0	9.923e-198														BppU N-terminal domain [PF10651.12]			VOG02860	REFSEQ BppU family baseplate upper protein; Xu	Xu	0.0	0.0	2.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_58	37637	37978	+		C	sxo:SXYL_01734		sxo:SXYL_01734  Uncharacterized phage-related protein	False	0.908	213.0	9.533e-62																	VOG00715	sp|Q925X3|Y124_LISIN Uncharacterized protein Lin0124/Lin2378/Lin2564; Xu	Xu	0.0	1.0	2.0	False									
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_59	37980	38132	+		C	sxo:SXYL_01733		sxo:SXYL_01733  Similar to phage-related protein	False	0.999	108.0	1.5090000000000001e-26														Phage uncharacterised protein (Phage_XkdX) [PF09693.13]			VOG00082	sp|O31968|YOMP_BACSU SPbeta prophage-derived uncharacterized protein YomP; Xu	Xu	0.0	1.0	2.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_60	38169	38609	+		C	sxy:BE24_05250		sxy:BE24_05250  hypothetical protein	False	0.538	127.0	3.4330000000000002e-31																				0.0	1.0	2.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_61	38593	38988	+		E																											0.0	2.0	2.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_62	39034	39315	+		C	sca:SCA_0517		sca:SCA_0517  putative holin	False	0.676	113.0	2.061e-27														SPP1 phage holin [PF04688.16]			VOG07785	sp|P36549|YAF2_BACLI Uncharacterized 9.7 kDa protein in cwlL 5'region; Xu	Xu	0.0	1.0	2.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_63	39326	40708	+		A	sxo:SXYL_01727		sxo:SXYL_01727  Phage-related amidase	True	0.874	769.0	8.757e-248	NP_835574.1	NP_835574.1 lytic enzyme [Staphylococcus phage phiN315]	False	0.34	99.0	1.418e-20	MER0229719	C51	MER0229719 - D-alanyl-glycyl peptidase (staphylococcal phage phi11-type) (Staphylococcus epidermidis) [C51.001]#C51#{peptidase unit: 4-126}~source EES40419~	False	0.718	180.0	1.56e-46	N-acetylmuramoyl-L-alanine amidase [PF01520.21]; CHAP domain [PF05257.19]			VOG02204	sp|P24556|LYTA_STAAU Autolysin; Xh	Xh	0.0	1.0	2.0	False	PF								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_64	40903	41322	-		E																											0.0	2.0	2.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_65	41312	41806	-		E																											0.0	2.0	2.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_66	41934	42125	+		C	ssp:SSP1610		ssp:SSP1610  hypothetical protein	False	0.995	135.0	1.283e-35																				0.0	2.0	2.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_67	42135	42545	+		C	ssp:SSP1609		ssp:SSP1609  hypothetical protein	False	0.891	255.0	8.277e-76														YolD-like protein [PF08863.13]			VOG03649	sp|O31991|YOLD_BACSU SPbeta prophage-derived uncharacterized protein YolD; Xu	Xu	0.0	2.0	2.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_68	42860	43048	+		C	ssp:SSP1608		ssp:SSP1608  hypothetical protein	False	0.92	124.0	8.689e-32																	VOG01022	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	5.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_1	231	1070	-		C	ljh:LJP_0765c		ljh:LJP_0765c  hypothetical protein	False	0.301	133.0	2.779e-31	NP_795374.1	NP_795374.1 hypothetical protein SpyM3_0682 [Streptococcus phage 315.1]	False	0.421	81.0	5.512e-16								PemK-like, MazF-like toxin of type II toxin-antitoxin system [PF02452.20]			VOG09780	REFSEQ type II toxin-antitoxin system PemK/MazF family toxin; Xu	Xu	0.0	1.0	5.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_2	1076	2290	-		A	suk:SAA6008_00346		suk:SAA6008_00346  pathogenicity island protein, integrase	True	0.89	751.0	2.4729999999999998e-242	NP_795489.1	NP_795489.1 putative integrase [Streptococcus phage 315.3]	False	0.276	159.0	1.116e-40								Phage integrase family [PF00589.25]			VOG00018	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0.0	1.0	2.0	False	VF								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_3	2454	3158	-		A	suv:SAVC_01715		suv:SAVC_01715  hypothetical protein	True	0.796	383.0	1.7649999999999999e-118	NP_795374.1	NP_795374.1 hypothetical protein SpyM3_0682 [Streptococcus phage 315.1]	False	0.281	85.0	1.369e-17								PemK-like, MazF-like toxin of type II toxin-antitoxin system [PF02452.20]			VOG09780	REFSEQ type II toxin-antitoxin system PemK/MazF family toxin; Xu	Xu	0.0	1.0	2.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_4	3187	3324	-		E																											0.0	2.0	2.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_5	3398	3736	-		C	seps:DP17_2022		seps:DP17_2022  hypothetical protein	False	0.556	111.0	2.3990000000000002e-26														Domain of unknown function (DUF771) [PF05595.14]			VOG00384	REFSEQ DUF771 domain-containing protein; Xu	Xu	0.0	1.0	2.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_6	3849	4496	-		C	swa:A284_11350		swa:A284_11350  DNA-binding protein	False	0.45	169.0	1.373e-44														Helix-turn-helix domain [PF13560.9]; Helix-turn-helix domain [PF12844.10]						0.0	2.0	2.0	False	F								
